bin_centers_kpc,velocity_dispersions_kms,velocity_dispersions_err_kms
0.03153876515730164,6.55218369027541,1.5443645063245466
0.06014915213078699,6.210609202539367,1.463854627471721
0.08238008599123284,5.995229585076607,1.413089164792627
0.09244148440515773,7.0351577412624104,1.6582025818545618
0.10776312627478149,9.003184621750984,2.1220709661048542
0.11505132129914672,4.18855583703978,0.987252078583108
0.12290248789896982,6.609429291213839,1.5578574238634342
0.1318799548186058,6.3357977661327975,1.4933618548863603
0.14123334193592366,5.762753971265244,1.3582941371304538
0.1553401484478915,5.33974614461108,1.2585902362230728
0.1635202443691873,6.427622681313313,1.5150051949550343
0.171724401327239,5.715825982888801,1.3472331041943115
0.18029347316685174,4.4892464104049115,1.0581255264048932
0.18864967892836895,6.651724922487731,1.5678265997595457
0.19473160550361704,5.1486352021137005,1.213544955090123
0.20288629073085063,4.9692834269920425,1.1712713362879998
0.20873481098359253,6.426689142422663,1.5147851577283409
0.2189520120634701,5.269714308090041,1.2420835740554146
0.22482225900112596,7.484086821754243,1.7640161808837673
0.23515881479546713,5.754891639099542,1.3564409676670173
0.24790149242942042,8.867443574985716,2.090076494553827
0.2579955123981246,6.387105064981402,1.5054551011997646
0.2677085020917628,8.481509299647083,1.999110913492406
0.2781968412002978,4.259420930909112,1.0039551413912502
0.29426350542261415,3.203123475609393,0.7549834435270749
0.3113723698726604,5.350067496978165,1.2610230023063334
0.33316799677654313,6.962446887888381,1.6410644693590164
0.3483416507210298,3.9458698519957447,0.9300504433419167
0.36240572738279375,3.076867093507796,0.7252245288763687
0.37754391523162495,4.819820190283732,1.1360425135498209
0.4018199978658156,4.032313920760084,0.950425505747457
0.4223953411880689,6.541839700471626,1.5419264045462866
0.4506013205141155,4.152924003371334,0.9788535748454184
0.4961325836164104,6.283169759144044,1.480957314679
0.6145994345766043,66.93703924003677,15.77721145306001
