#R,SigmaMean,UpperErr,LowerErr. From fig.1 of https://arxiv.org/pdf/0906.0341
43.333333333333364,8.709761904761901,10.652857142857139,6.852619047619045
85.41666666666669,8.96238095238095,10.847857142857137,7.076666666666664
111.25000000000003,6.977142857142853,8.491428571428568,5.519999999999998
136.66666666666669,6.3630952380952355,7.76333333333333,5.049047619047618
164.16666666666666,7.150238095238091,8.635952380952377,5.6930952380952355
190.41666666666666,6.622380952380949,8.079523809523804,5.222380952380949
218.33333333333331,8.352619047619044,10.09571428571428,6.581190476190471
246.66666666666663,6.025952380952376,7.311904761904756,4.797380952380948
290.8333333333333,6.279761904761898,7.651428571428564,4.908333333333328
341.66666666666663,7.5945238095238015,9.137380952380944,5.965952380952375
424.5833333333333,5.184761904761896,7.4988095238095145,2.9564285714285656
